# core_id	pixel_format	byte_order	route_scope	evidence
chimerasnes	rgb565	native	frontend	device-ra-snes-anchor-90f
fceumm	xrgb8888	native	frontend	device-set-pixel-format-1
gambatte	rgb565	byteswap	frontend	device-ra-gambatte-90f
gearboy	rgb565	byteswap	frontend	device-ra-gambatte-anchor-90f
gearsystem	rgb565	byteswap	frontend	device-ra-genesis-plus-gx-anchor-90f
genesis_plus_gx	rgb565	native	frontend	device-ra-genesis-plus-gx-90f
gpsp	rgb565	native	frontend	device-ra-gpsp-90f
mednafen_ngp	rgb565	byteswap	compat	mf-compat-not-frontend-routed
mednafen_pce_fast	rgb565	native	frontend	device-ra-mednafen-pce-fast-720f
mednafen_supafaust	rgb565	byteswap	frontend	device-ra-snes-anchor-90f
mednafen_supergrafx	rgb565	byteswap	frontend	device-ra-mednafen-pce-fast-anchor-720f
mgba	rgb565	native	frontend	device-ra-gpsp-anchor-90f
nestopia	xrgb8888	native	frontend	device-set-pixel-format-1
picodrive	rgb565	byteswap	frontend	device-ra-genesis-plus-gx-anchor-90f
quicknes	rgb565	native	frontend	device-ra-quicknes-90f
snes9x	rgb565	native	frontend	device-ra-snes9x-90f
snes9x2002	rgb565	native	frontend	device-ra-snes9x-anchor-90f
snes9x2005	rgb565	native	frontend	device-ra-snes9x-anchor-90f
snes9x2005_plus	rgb565	native	frontend	device-ra-snes9x-anchor-90f
snes9x2010	rgb565	native	frontend	device-ra-snes9x-anchor-90f
vbam	rgb565	byteswap	frontend	device-ra-gambatte-anchor-90f
